БЕГ|Боловсролын Ерөнхий Газар
БУХС|Бизнесийн Удирдлага, Хүмүүнлэгийн Сургууль
БХАТИХ|Бүх Хятадын Ардын Төлөөлөгчдийн Их Хурал
БХБ|Барилга, Хот Байгуулалт
БХБЯ|Барилга, Хот Байгуулалтын Яам
БХД|Багахангай Дүүрэг
БХЗГ|Бодлогын Хэрэгжилтийг Зохицуулах Газар
БХИС|Батлан Хамгаалахын Их Сургууль
БХЯ|Батлан Хамгаалах Яам
БЦГ|Байгалийн Цогцолборт Газар
БШУЯ|Боловсрол Шинжлэх Ухааны Яам
БҮТ|Бизнес Үйлчилгээний Төв
БҮТ|Боловсролын Үнэлгээний Төв
ВВС|Би Би Си
ГАТТ|Тариф Худалдааны Ерөнхий Хэлэлцээр
ГБХЗХГ|Гэр Бүл Хүүхэд Залуучуудын Хөгжлийн Газар
ГЕГ|Гаалийн Ерөнхий Газар
ГИХГ|Гадаадын Иргэн, Харьяатын Газар
ГССҮТ|Гэмтэл Согог Судлалын Үндэсний Төв
ГТБХЗГ|Газар Тариалангийн Бодлогын Хэрэгжилтийг Зохицуулах Газар
ГТСМТТ|Гааль Татвар Санхүүгийн Мэдээлэл Технологийн Төв
ГУСГ|Гамшгаас Урьдчилан Сэргийлэх Газар
ГУХ|Гал Унтраах Хэлтэс
ГХ|Гадаад Харилцаа
ГХГ|Гадаад Харилцааны Газар
ГХО|Гадаадын Хөрөнгө Оруулагч
ГХУСАЗС|Гэмт Хэргээс Урьдчилан Сэргийлэх Ажлыг Зохицуулах Салбар
ГХУСАЗСЗ|Гэмт Хэргээс Урьдчилан Сэргийлэх Ажлыг Зохицуулах Салбар Зөвлөл
ГХЯ|Гадаад Харилцааны Яам
ГШУГ|Гамшгийн Шуурхай Удирдлагын Газар
ГЯЯ|Гадаад Явдлын Яам
ГҮТББ|Гишүүддээ Үйлчлэх Төрийн Бус Байгууллага
ДАШТ|Дэлхийн Аварга Шалгаруулах Тэмцээн
ДБ|Дэлхийн Банк
ДБХХ|Дэд Бүтцийн Хяналтын Хэлтэс
ДБЭТ|Дуурь Бүжгийн Эрдмийн Театр
ДГХО|Далайд Гарцгүй Хөгжиж Буй Орнууд
ДМАЭМБ|Дэлхийн Мал Амьтны Эрүүл Мэндийн Байгууллага
ДНБ|Дотоодын Нийт Бүтээгдэхүүн
ДНК|ДНК
ДНХ|Дезоксирибо-Нуклейний Хүчил
ДОХ|Дархлалын Олдмол Хомсдол
ДОӨБ|Дэлхийн Оюуны Өмчийн Байгууллага
ДХБ|Дэлхийн Худалдааны Байгууллага
ДХЯ|Дотоод Хэргийн Яам
ДЦГ|Дархан Цаазат Газар
ДЦС|Дулааны Цахилгаан Станц
ДЭЗЧ|Дэлхийн Эдийн Засгийн Чуулга
ДЭЗЧУ|Дорнын Эдийн Засгийн Чуулга Уулзалт
ДЭЗЧУБ|Дэлхийн Эдийн Засгийн Чуулга Уулзалтын Байгууллага
ДЭМБ|Дэлхийн Эрүүл Мэндийн Байгууллага
ЕАБХАБ|Европын Аюулгүй Байдал Хамтын Ажиллагааны Байгууллага
ЕАШТ|Европын Аварга Шалгаруулах Тэмцээн
ЕАЭЗХ|Евроазийн Эдийн Засгийн Холбоо
ЕБС|Ерөнхий Боловсролын Сургууль
ЕНБД|Ерөнхий Нарийн Бичгийн Дарга
ЕСБХБ|Европын Сэргээн Босголт Хөгжлийн Банк
ЕХ|Европын Холбоо
ЕХБХ|Европын Хөл Бөмбөгийн Холбоо
ЖАЙКА|ЖАЙКА
ЖДҮ|Жижиг, Дунд Үйлдвэр
ЖДҮХБХЗГ|Жижиг, Дунд Үйлдвэр, Хоршооны Бодлогын Хэрэгжилтийг Зохицуулах Газар
ЖДҮХС|Жижиг, Дунд Үйлдвэрийг Хөгжүүлэх Сан
ЖШУХ|Жижүүрийн Шуурхай Удирдлагын Хэлтэс
ЗГ|Засгийн Газар
ЗГХА|Засгийн Газрын Хэрэгжүүлэгч Агентлаг
ЗГХК|Засгийн Газар Хоорондын Комисс
ЗГХМОНХХ|Засгийн Газрын Хэвлэл Мэдээлэл Олон Нийттэй Харилцах Хэлтэс
ЗГХЭГ|Засгийн Газрын Хэрэг Эрхлэх Газар
ЗДТГ|Засаг Даргын Тамгын Газар
ЗЗ|Зах Зээл
ЗТБХБ|Зам Тээвэр Барилга Хот Байгуулалт
ЗТН|Зорчигч Тээврийн Нэгтгэл
ЗТХ|Зам Тээвэр Хөгжил
ЗТХЯ|Зам, Тээврийн Хөгжлийн Яам
ЗТЭ|Зээлжих Тусгай Эрх
ЗТЯ|Зам Тээврийн Яам
ЗХ|Зэвсэгт Хүчин
ЗХАБТХ|Замын Хөдөлгөөний Аюулгүй Байдлын Тухай Хууль
ЗХЖШ|Зэвсэгт Хүчний Жанжин Штаб
ЗХУ|Зөвлөлт Холбоот Улс
ЗХУТ|Замын Хөдөлгөөний Удирдлагын Төв
ЗЦА|Замын Цагдаагийн Алба
ЗЦГ|Замын Цагдаагийн Газар
ЗӨСҮТ|Зоонозын Өвчин Судлалын Үндэсний Төв
ИБТ|Иргэний Боловсролын Төв
ИБУИНВУ|Их Британи, Умард Ирландын Нэгдсэн Вант Улс
ИЗББ|Ипотекийн Зээлээр Баталгаажсан Бонд
ИЗОУИС|Их Засаг Олон Улсын Их Сургууль
ИНЕГ|Иргэний Нисэхийн Ерөнхий Газар
ИНХ|Иргэдийн Нийтийн Хурал
ИТХ|Иргэдийн Төлөөлөгчдийн Хурал
КГБ|Комитет Государственной Безопасности
КОЙКА|КОЙКА
ЛГБТ|Лесби, Гей, Бисексуал, Трансжендер
МАА|Мал Аж Ахуй
МААБХЗГ|Мал Аж Ахуйн Бодлогын Хэрэгжилтийг Зохицуулах Газар
МАЖХ|Монголын Аялал Жуулчлалын Холбоо
МАК|Монголын Алт Корпорац
МАН|Монгол Ардын Нам
МАНАН|МАНАН
МАОЭНХ|Монголын Ажил Олгогч Эздийн Нэгдсэн Холбоо
МАОЭХ|Монголын Ажил Олгогч Эздийн Холбоо
МАХН|Монгол Ардын Хувьсгалт Нам
МБЗ|Монголын Бизнесийн Зөвлөл
МБОИЗ|Монголын Байгаль Орчны Иргэний Зөвлөл
МБХ|Монголын Банкны Холбоо
МБШТ|Монголын Бурхан Шашны Төв
МБШУҮЭХ|Монголын Боловсрол, Шинжлэх Ухааны Үйлдвэрчний Эвлэлийн Хороо
МГТИС|Монгол-Германы Хамтарсан Ашигт Малтмал, Технологийн Их Сургууль
МДХ|Монголын Дизайнеруудын Холбоо
МЗХ|Монголын Залуучуудын Холбоо
МЗЭ|Монголын Зохиолчдын Эвлэл
МИАТ|Монголын Иргэний Агаарын Тээвэр
МИДСК|Монголын Их, Дээд Сургуулиудын Консорциум
МИС|Механик Инженерчлэлийн Сургууль
МКДБХХ|Монгол Кино, Дэлгэцийн Бүтээлийг Хамгаалах Холбоо
МНБИНХ|Монголын Нам Бус Иргэдийн Нэгдсэн Холбоо
МОНЦАМЭ|Монголын Цахилгаан Мэдээ
МОСХ|Бүсийн Оношилгоо Эмчилгээний Төв
МОХ|Монголын Оюутны Холбоо
МОӨХХ|Монголын Оюуны Өмчийг Хамгаалах Холбоо
МСБХ|Монголын Сагсан Бөмбөгийн Холбоо
МСК|Мянганы Сорилтын Корпорац
МСНЭ|Монголын Сэтгүүлчдийн Нэгдсэн Эвлэл
МСС|Мянганы Сорилын Сан
МСЭ|Монголын Сэтгүүлчдийн Эвлэл
МСҮТ|Мэргэжлийн Сургалт, Үйлдвэрлэлийн Төв
МТЗ|Монголын Төмөр Зам
МТХ|Монголын Телевизүүдийн Холбоо
МТХГТҮЭХ|Монголын Тээвэр, Холбоо, Газрын Тосны Үйлдвэрчний Эвлэлийн Холбоо
МТҮП|Мэдээллийн Технологийн Үндэсний Парк
МУ|Монгол Улс
МУАЖ|Монгол Улсын Ардын Жүжигчин
МУБИС|Монгол Улсын Боловсролын Их Сургууль
МУГБ|Монгол Улсын Гавьяат Багш
МУГД|Монгол Улсын Гавьяат Дасгалжуулагч
МУГЖ|Монгол Улсын Гавьяат Жүжигчин
МУГТ|Монгол Улсын Гавьяат Тамирчин
МУЗ|Монголын Урлагийн Зөвлөл
МУЗН|Монголын Улаан Загалмайн Нийгэмлэг
МУИС|Монгол Улсын Их Сургууль
МУСГЗ|Монгол Улсын Соёлын Гавьяат Зүтгэлтэн
МУСТА|Монгол Улсын Соёлын Тэргүүний Ажилтан
МУУГЗ|Монгол Улсын Урлагийн Гавьяат Зүтгэлтэн
МУХБ|Монгол Улсын Хөгжлийн Банк
МУЭ|Монголын Урчуудын Эвлэл
МУҮХ|Монголын Уулчдын Үндэсний Холбоо
МХБ|Монголын Хөрөнгийн Бирж
МХБХ|Монголын Хөл Бөмбөгийн Холбоо
МХГ|Мэргэжлийн Хяналтын Газар
МХЕГ|Мэргэжлийн Хяналтын Ерөнхий Газар
МХЗЭ|Монголын Хувьсгалт Залуучуудын Эвлэл
МХМЗ|Монголын Хэвлэл Мэдээллийн Зөвлөл
МХХ|Монголын Хөтлөгчдийн Холбоо
МХХОУХ|Мэдээлэл Харилцааны Хөгжлийн Олон Улсын Хөтөлбөр
МХХТДИ|Мэдээлэл, Харилцаа Холбооны Технологийг Дэлгэрүүлэх Институт
МХЭАХН|Монголын Хэрэглэгчдийн Эрх Ашгийг Хамгаалах Нийгэмлэгүүд
МХЭАХНҮХ|Монголын Хэрэглэгчдийн Эрх Ашгийг Хамгаалах Нийгэмлэгүүдийн Үндэсний Холбоо
МХҮХ|Монголын Хараагүйчүүдийн Үндэсний Холбоо
МЦХ|Монголын Цахилгаан Холбоо
МЧБХ|Монголын Чөлөөт Бөхийн Холбоо
МШХ|Монголыг Шатрын Холбоо
МШХХ|Монголын Шагайн Харвааны Холбоо
МЭ|Манай Эрин
МЭТ|Монгол Экологи Төв
МЭӨ|Манай Эриний Өмнөх
МоАХ|Монголын Ардчилсан Холбоо
МҮАН|Монгол Үндэсний Ардчилсан Нам
МҮБЗ|Монголын Үндэсний Брэндийн Зөвлөл
МҮБХ|Монголын Үндэсний Бөхийн Холбоо
МҮИС|Монголын Үндэсний Их Сургууль
МҮОНР|Монголын Үндэсний Олон Нийтийн Радио
МҮОНРТ|Монголын Үндэсний Олон Нийтийн Радио Телевиз
МҮОНРТВ|Монголын Үндэсний Олон Нийтийн Радио Телевиз
МҮОНТ|Монголын Үндэсний Олон Нийтийн Телевиз
МҮОНТВ|Монголын Үндэсний Олон Нийтийн Телевиз
МҮОХ|Монголын Үндэсний Олимпын Хороо
МҮСБХ|Монголын Үндэсний Сагсан Бөмбөгийн Холбоо
МҮХАҮ|Монголын Үндэсний Худалдаа Аж Үйлдвэр
МҮХАҮТ|Монголын Үндэсний Худалдаа Аж Үйлдвэрийн Танхим
МҮЭ|Монголын Үйлдвэрчний Эвлэл
МҮЭСТ|Монголын Үйлдвэрчний Эвлэлийн Соёлын Төв
МҮЭСТО|Монголын Үйлдвэрчний Эвлэлийн Соёлын Төв Ордон
МҮЭХ|Монголын Үйлдвэрчний Эвлэлийн Холбоо
НАЖГ|Нийслэлийн Аялал Жуулчлалын Газар
НАЗГ|Нийслэлийн Авто Замын Хөгжлийн Газар
НАЗХГ|Нийслэлийн Авто Замын Хөгжлийн Газар
НАМОХ|Нийгмийн Ардчилал Монголын Оюутны Холбоо
НАСА|Үндэсний Агаарын Тээвэр Ба Сансрын Нислэгийн Алба
НАТО|НАТО
НАХЯ|Нийгмийг Аюулаас Хамгаалах Яам
НББСШУ|Нийгмийн Бодлого, Боловсрол, Соёл, Шинжлэх Ухаан
НББСШУБХ|Нийгмийн Бодлого, Боловсрол, Соёл, Шинжлэх Ухааны Байнгын Хороо
НБГ|Нийслэлийн Боловсролын Газар
НБДГ|Нарийн Бичгийн Дарга Нарын Газар
НБОГ|Нийслэлийн Байгаль Орчны Газар
НГА|Нийслэлийн Газрын Алба
НГТУ|Новосибирскийн Улсын Техникийн Их Сургууль
НГХДБГ|Нийслэлийн Гэр Хорооллын Дэд Бүтцийн Газар
НГХУСАЗЗ|Нийслэлийн Гэмт Хэргээс Урьдчилан Сэргийлэх Ажлыг Зохицуулах Зөвлөл
НДЕГ|Нийгмийн Даатгалын Ерөнхий Газар
НДШ|Нийгмийн Даатгалын Шимтгэл
НЗД|Нийслэлийн Засаг Дарга
НЗДТГ|Нийслэлийн Засаг Даргын Тамгын Газар
НЗТ|Нээлттэй Засгийн Түншлэл
НЗТН|Нийслэлийн Зорчигч Тээврийн Нэгтгэл
НИТАЖ|Нутгийн Иргэдэд Түшиглэсэн Аялал Жуулчлал
НИТХ|Нийслэлийн Иргэдийн Төлөөлөгчдийн Хурал
НИТХТ|Нийслэлийн Иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчид
НКВД|Дотоод Хэргийн Ардын Комиссариат
НМХГ|Нийслэлийн Мэргэжлийн Хяналтын Газар
НМХЕГ|Нийслэлийн Мэргэжлийн Хяналтын Ерөнхий Газар
ННФ|Нээлттэй Нийгэм Форум
НОБГ|Нийслэлийн Онцгой Байдлын Газар
НОСК|Нийслэлийн Орон Сууцны Корпорац
НСУГ|Нийслэлийн Соёл Урлагийн Газар
НТӨ|Нийтийн Тооллын Өмнөх
НХТ|Нийслэлийн Хот Төлөвлөлт
НХХ|Хөдөлмөр Нийгмийн Хамгаалал
НХХЯ|Нийгмийн Хамгаалал, Хөдөлмөрийн Яам
НХЭГ|Нийслэлийн Хөдөлмөр Эрхлэлтийн Газар
НЦГ|Нийслэлийн Цагдаагийн Газар
НЭМГ|Нийслэлийн Эрүүл Мэндийн Газар
НЭМҮТ|Нийгмийн Эрүүл Мэндийн Үндэсний Төв
НҮБ|Нэгдсэн Үндэстний Байгууллага
НҮБХХ|Нэгдсэн Үндэстний Байгууллагын Хөгжлийн Хөтөлбөр
НҮНТ|Нийслэлийн Үйлчилгээний Нэгдсэн Төв
НҮТББ|Нийгэмд Үйлчилдэг Төрийн Бус Байгууллага
НӨАТ|Нэмүү Өртгийн Албан Татвар
ОБЕГ|Онцгой Байдлын Ерөнхий Газар
ОБХ|Онцгой Байдлын Хэлтэс
ОНБМТ|Олон Нийтийн Боловсрол, Мэдээллийн Төв
ОНЗ|Олон Нийтийн Зөвлөл
ОНХГ|Олон Нийттэй Харилцах Газар
ОНХХ|Орон Нутгийн Хөгжлийн Хөтөлбөр
ОНӨААТҮГ|Орон Нутгийн Өмчит Аж Ахуйн Тооцоот Үйлдвэрийн Газар
ОНӨТҮГ|Орон Нутгийн Өмчит Төсөвт Үйлдвэрийн Газар
ОНӨҮГ|Орон Нутгийн Өмчит Үйлдвэрийн Газар
ООГХ|Одон Орон, Геофизикийн Хүрээлэн
ОСНААУГ|Орон Сууц Нийтийн Аж Ахуйг Удирдах Газар
ОТ|Оюу Толгой
ОУ|Олон Улс
ОУБ|Олон Улсын Байгууллага
ОУВС|Олон Улсын Валютын Сан
ОУНБ|Олон Улсын Нисэх Буудал
ОУОХ|Олон Улсын Олимпын Хороо
ОУПХ|Олон Улсын Парламентын Холбоо
ОУСДӨ|Олон Улсын Сайн Дурынхны Өдөр
ОУСК|Олон Улсын Санхүүгийн Корпорац
ОУСС|Олон Улсын Сансрын Станц
ОУУБИС|Олон Улсын Улаанбаатарын Их Сургууль
ОУУДАХ|Олон Улсын Унадаг Дугуйн Аяллын Холбоо
ОУХДС|Олон Улсын Харилцааны Дээд Сургууль
ОУХМ|Олон Улсын Хэмжээний Мастер
ОУХНУС|Олон Улсын Харилцаа Нийтийн Удирдлагын Сургууль
ОУХТ|Олон Улсын Худалдааны Төв
ОУЭЗБДС|Олон Улсын Эдийн Засаг Бизнесийн Дээд Сургууль
ОХУ|Оросын Холбооны Улс
ОҮИТБС|Олборлох Үйлдвэрлэлийн Ил Тод Байдлын Санаачилга
ОӨУБЕГ|Оюуны Өмчийн Улсын Бүртгэлийн Ерөнхий Газар
РМ|Пи Эм Тоосонцор
РС|Пи Си
СБД|Сүхбаатар Дүүрэг
СБНЭ|Сүхбаатар Дүүргийн Нэгдсэн Эмнэлэг
СГЗ|Соёлын Гавьяат Зүтгэлтэн
СДН|Социал Демократ Нам
СЕХ|Сонгуулийн Ерөнхий Хороо
СЗХ|Санхүүгийн Зохицуулах Хороо
СОУЭМС|Солонгосын Олон Улсын Эрүүл Мэндийн Сан
СССР|СССР
СТА|Соёлын Тэргүүний Ажилтан
СТО|Спортын Төв Ордон
СТӨ|Соёлын Төв Өргөө
СУИС|Соёл, Урлагийн Их Сургууль
СХД|Сонгинохайрхан Дүүрэг
СХЗГ|Стандарт, Хэмжил Зүйн Газар
СХНЭ|Сонгинохайрхан Дүүргийн Нэгдсэн Эмнэлэг
СЭЗДС|Санхүү Эдийн Засгийн Дээд Сургууль
СЭЗИС|Санхүү, Эдийн Засгийн Их Сургууль
СЭМҮТ|Сэтгэцийн Эрүүл Мэндийн Үндэсний Төв
СӨБ|Сургуулийн Өмнөх Боловсрол
СӨХ|Сууц Өмчлөгчдийн Холбоо
ТАЗ|Төрийн Албаны Зөвлөл
ТББ|Төрийн Бус Байгууллага
ТББХ|Төрийн Байгуулалтын Байнгын Хороо
ТВ|Телевиз
ТДГД|Тусгай Дуут Болон Гэрлэн Дохио
ТЕГ|Тагнуулын Ерөнхий Газар
ТЗ|Төмөр Зам
ТЗУГ|Төрийн Захиргааны Удирдлагын Газар
ТНБД|Төрийн Нарийн Бичгийн Дарга
ТОСК|Төрийн Орон Сууцны Корпорац
ТТ|Таван Толгой
ТТӨ|Томуу Төст Өвчин
ТУЗ|Төлөөлөн Удирдах Зөвлөл
ТУС|Тохируулгатай Угсардаг Систем
ТУХ|Техникийн Улсын Хороо
ТУХН|Тусгаар Улсуудын Хамтын Нөхөрлөл
ТУХН|Түүхийн Уламжлалыг Хамгаалах Нам
ТХГН|Тусгай Хамгаалалттай Газар Нутаг
ТХСК|Тамхины Хяналтын Суурь Конвенц
ТХШТХ|Төрийн Хяналт Шалгалтын Тухай Хууль
ТЭДС|Тариалан Эрхлэлтийг Дэмжих Сан
ТЭЗҮ|Техник Эдийн Засгийн Үндэслэл
ТҮК|Тохижилт, Үйлчилгээний Компани
ТҮЦ|Түргэн Үйлчилгээний Цэг
ТӨААТҮГ|Төрийн Өмчит Аж Ахуйн Тооцоотой Үйлдвэрийн Газар
ТӨБЗГ|Төрийн Өмчийн Бодлого, Зохицуулалтын Газар
ТӨК|Төрийн Өмчит Компани
ТӨХ|Төрийн Өмчийн Хороо
ТӨХК|Төрийн Өмчит Хувьцаат Компани
ТӨХХК|Төрийн Өмчит Хязгаарлагдмал Хариуцлагатай Компани
ТӨҮГ|Төрийн Өмчийн Үйлдвэрийн Газар
УАБЗ|Үндэсний Аюулгүй Байдлын Зөвлөл
УАБХГ|Улсын Аюулгүй Байдлыг Хангах Газар
УАХЕГ|Улсыг Аюулаас Хамгаалах Ерөнхий Газар
УАШ|Улсын Аварга Шалгаруулах
УАШТ|Улсын Аварга Шалгаруулах Тэмцээн
УБ|Улаанбаатар
УБДС|Улаанбаатар Дулааны Сүлжээ
УБЕГ|Улсын Бүртгэлийн Ерөнхий Газар
УБЗАА|Улаанбаатар Хотын Захирагчийн Ажлын Алба
УБТЗ|Улаанбаатар Төмөр Зам
УБХ|Улсын Бага Хурал
УБЦТС|Улаанбаатар Цахилгаан Түгээх Станц
УБЭТ|Улсын Бүжгийн Эрдмийн Театр
УБҮ|Уулын Баяжуулах Үйлдвэр
УГЖ|Улсын Гавьяат Жүжигчин
УГЗ|Урлагийн Гавьяат Зүтгэлтэн
УГТЭ|Улсын Гуравдугаар Төв Эмнэлэг
УДБЭТ|Улсын Дуурь Бүжгийн Эрдмийн Театр
УДБЭЧ|Улсын Дуу Бүжгийн Эрдмийн Чуулга
УДЭТ|Улсын Драмын Эрдмийн Театр
УЕП|Улсын Ерөнхий Прокурор
УЕПГ|Улсын Ерөнхий Прокурорын Газар
УЗ|Удирдах Зөвлөл
УЗА|Утга Зохиолын Ажилтан
УИД|Улсын Их Дэлгүүр
УИХ|Улсын Их Хурал
УКТЭ|Улсын Клиникийн Төв Эмнэлэг
УМБГ|Улсын Мөрдөн Байцаах Газар
УМХГ|Улсын Мэргэжлийн Хяналтын Газар
УНТЭ|Улсын Нэгдсэн Төв Эмнэлэг
УОК|Улсын Онцгой Комисс
УСУГ|Ус Сувгийн Удирдах Газар
УТХГ|Улсын Тусгай Хамгаалалттай Газар
УТҮГ|Улсын Төсөвт Үйлдвэрийн Газар
УУ|Уул Уурхай
УУХЯ|Уул Уурхай Хүнд Үйлдвэрийн Яам
УУХҮ|Уул Уурхай, Хүнд Үйлдвэр
УУХҮЯ|Уул Уурхай, Хүнд Үйлдвэрийн Яам
УУЯ|Уул Уурхайн Яам
УЦС|Усан Цахилгаан Станц
УЦУОСМХ|Ус Цаг Уур, Орчны Судалгаа, Мэдээллийн Хүрээлэн
УЦУОШГ|Ус, Цаг Уур, Орчны Шинжилгээний Газар
УҮГ|Улсын Үйлдвэрийн Газар
ФАТФ|Олон Улсын Санхүүгийн Гэмт Хэрэгтэй Тэмцэх Байгууллага
